shipment_id,origin_port,destination_port,carrier,ship_date,base_transit_days,actual_transit_days,port_congestion_score,weather_condition,customs_complexity,cargo_weight_tons,num_stops,is_peak_season,carrier_on_time_rate,days_since_maintenance,fuel_cost_index,is_delayed
SHP02158,Singapore,Hamburg,MaerskLine,2022-03-22,18,20,0.158,Hurricane,1,6.99,1,0,0.8198,63,1.2541,1
SHP02159,Guangzhou,Sydney,MaerskLine,2023-10-12,15,15,0.4099,Cloudy,2,53.9,2,0,0.7744,104,1.1616,0
SHP02160,Hong Kong,London,MSC,2022-08-16,20,20,0.3391,Cloudy,1,81.1,1,0,0.7483,118,0.713,0
SHP02161,Busan,Seattle,MSC,2023-01-23,12,13,0.1131,Hurricane,1,6.25,2,0,0.7074,113,0.8854,1
SHP02162,Busan,Seattle,MaerskLine,2022-05-28,12,19,0.4617,Rainy,1,9.11,1,1,0.7974,9,0.8617,1
SHP02163,Shanghai,Los Angeles,HapagLloyd,2023-09-03,14,14,0.3455,Clear,3,37.79,1,1,0.7458,31,0.9192,0
SHP02164,Rotterdam,New York,MaerskLine,2022-07-04,10,10,0.1001,Cloudy,2,64.22,1,1,0.7782,36,0.7856,0
SHP02165,Rotterdam,New York,MaerskLine,2022-08-01,10,16,0.3944,Storm,2,20.11,1,0,0.7951,170,0.8462,1
SHP02166,Guangzhou,Sydney,MaerskLine,2023-02-28,15,15,0.0855,Storm,2,13.15,0,0,0.8044,130,1.0983,0
SHP02167,Rotterdam,New York,EverGreen,2023-03-06,10,16,0.2497,Clear,2,247.43,3,1,0.6394,153,0.7653,1
SHP02168,Guangzhou,Sydney,COSCO,2022-07-04,15,15,0.1368,Storm,1,25.14,1,0,0.5648,106,1.1229,0
SHP02169,Busan,Seattle,MaerskLine,2023-10-09,12,12,0.1978,Cloudy,2,7.89,0,0,0.8744,35,0.7206,0
SHP02170,Shanghai,Los Angeles,MaerskLine,2023-05-11,14,14,0.5211,Rainy,1,17.87,0,0,0.8073,19,0.9129,0
SHP02171,Shanghai,Los Angeles,MSC,2022-05-05,14,16,0.5222,Hurricane,2,3.25,0,0,0.6788,6,0.7154,1
SHP02172,Dubai,Mumbai,HapagLloyd,2023-06-15,5,5,0.3218,Clear,1,8.66,0,0,0.7367,126,1.0174,0
SHP02173,Singapore,Hamburg,MSC,2022-08-11,18,18,0.0858,Rainy,2,51.28,0,1,0.7312,156,1.095,0
SHP02174,Shanghai,Los Angeles,COSCO,2023-12-10,14,15,0.4902,Cloudy,2,9.68,0,1,0.5928,87,1.2533,1
SHP02175,Singapore,Hamburg,COSCO,2022-04-05,18,22,0.5303,Rainy,1,16.05,2,0,0.6238,56,1.0396,1
SHP02176,Hong Kong,London,HapagLloyd,2023-05-23,20,20,0.1228,Rainy,2,280.28,0,0,0.8156,166,0.9252,0
SHP02177,Guangzhou,Sydney,HapagLloyd,2022-09-14,15,16,0.3391,Storm,1,15.46,1,0,0.7313,100,1.2626,1
SHP02178,Singapore,Hamburg,MSC,2022-04-16,18,20,0.336,Rainy,1,22.68,1,0,0.774,83,1.0381,1
SHP02179,Busan,Seattle,MSC,2023-05-15,12,12,0.3436,Cloudy,2,8.5,0,0,0.6866,109,0.8743,0
SHP02180,Guangzhou,Sydney,EverGreen,2022-10-06,15,15,0.1827,Storm,1,16.62,1,0,0.6831,106,0.8225,0
SHP02181,Hong Kong,London,HapagLloyd,2023-03-16,20,22,0.4122,Clear,2,25.22,0,0,0.7958,66,0.8377,1
SHP02182,Dubai,Mumbai,HapagLloyd,2023-10-10,5,5,0.1775,Rainy,3,2.58,1,0,0.7786,170,0.7264,0
SHP02183,Rotterdam,New York,EverGreen,2023-06-08,10,10,0.4201,Cloudy,1,16.33,0,0,0.6068,158,1.0997,0
SHP02184,Busan,Seattle,HapagLloyd,2023-10-23,12,15,0.3612,Storm,2,6.89,1,1,0.7546,100,1.1186,1
SHP02185,Hong Kong,London,EverGreen,2022-11-27,20,21,0.3674,Clear,2,12.73,0,1,0.6912,141,1.09,1
SHP02186,Guangzhou,Sydney,MSC,2022-08-09,15,15,0.4568,Rainy,2,20.88,0,1,0.7447,122,0.8811,0
SHP02187,Hong Kong,London,COSCO,2022-05-06,20,21,0.6111,Cloudy,1,35.49,2,0,0.5802,99,1.1484,1
SHP02188,Shanghai,Los Angeles,COSCO,2022-08-07,14,14,0.0973,Clear,1,3.46,2,0,0.5761,36,1.2052,0
SHP02189,Antwerp,Chicago,HapagLloyd,2023-07-30,13,13,0.3255,Rainy,2,11.54,0,0,0.7769,0,0.9312,0
SHP02190,Rotterdam,New York,EverGreen,2023-06-24,10,10,0.2656,Rainy,2,31.4,0,0,0.6474,21,1.1519,0
SHP02191,Dubai,Mumbai,MaerskLine,2023-09-15,5,6,0.2163,Hurricane,2,98.35,0,1,0.8344,43,0.7269,1
SHP02192,Rotterdam,New York,HapagLloyd,2023-03-22,10,11,0.583,Storm,2,27.19,1,0,0.7569,16,1.2822,1
SHP02193,Hong Kong,London,COSCO,2023-05-21,20,32,0.6666,Cloudy,3,10.45,0,1,0.6072,17,0.7334,1
SHP02194,Antwerp,Chicago,MaerskLine,2022-05-08,13,19,0.2301,Rainy,2,40.9,1,0,0.8379,148,1.0907,1
SHP02195,Antwerp,Chicago,MSC,2023-01-28,13,15,0.2094,Hurricane,3,48.48,1,0,0.6744,88,1.2734,1
SHP02196,Dubai,Mumbai,HapagLloyd,2023-10-22,5,5,0.1089,Clear,1,87.01,1,1,0.7658,87,1.2668,0
SHP02197,Shanghai,Los Angeles,EverGreen,2023-02-17,14,14,0.137,Rainy,1,80.88,0,1,0.662,150,0.9524,0
SHP02198,Shanghai,Los Angeles,HapagLloyd,2023-10-23,14,15,0.0446,Hurricane,1,27.49,1,1,0.7692,87,1.0343,1
SHP02199,Shanghai,Los Angeles,MaerskLine,2023-03-02,14,16,0.103,Storm,1,25.72,0,1,0.8185,160,1.0613,1
SHP02200,Busan,Seattle,COSCO,2023-02-14,12,12,0.2921,Rainy,1,5.65,0,0,0.5439,95,0.882,0
SHP02201,Rotterdam,New York,HapagLloyd,2022-02-18,10,10,0.3044,Rainy,2,18.61,0,0,0.8322,114,1.0316,0
SHP02202,Guangzhou,Sydney,COSCO,2023-10-19,15,20,0.2982,Storm,3,15.95,1,0,0.5754,95,1.2664,1
SHP02203,Rotterdam,New York,COSCO,2022-08-18,10,13,0.1431,Hurricane,1,28.24,0,1,0.566,19,1.0885,1
SHP02204,Shanghai,Los Angeles,MaerskLine,2022-11-27,14,18,0.4158,Cloudy,3,97.4,3,1,0.8351,43,1.1358,1
SHP02205,Guangzhou,Sydney,MSC,2023-01-13,15,15,0.1711,Cloudy,1,8.62,0,1,0.7239,170,1.0623,0
SHP02206,Shanghai,Los Angeles,MaerskLine,2022-02-14,14,14,0.2176,Rainy,1,80.18,0,0,0.8264,164,0.848,0
SHP02207,Rotterdam,New York,MaerskLine,2022-12-04,10,11,0.3564,Rainy,2,266.97,1,1,0.7964,35,1.0762,1
SHP02208,Guangzhou,Sydney,COSCO,2023-08-21,15,15,0.1744,Cloudy,3,12.86,3,0,0.5605,91,0.9223,0
SHP02209,Antwerp,Chicago,MaerskLine,2022-06-01,13,13,0.0927,Cloudy,2,53.36,0,0,0.7804,161,1.1086,0
SHP02210,Guangzhou,Sydney,EverGreen,2022-09-04,15,15,0.2065,Clear,3,9.17,0,0,0.6309,26,1.2683,0
SHP02211,Antwerp,Chicago,EverGreen,2023-05-10,13,13,0.2386,Rainy,1,11.64,1,0,0.6212,169,1.1208,0
SHP02212,Dubai,Mumbai,MaerskLine,2023-12-30,5,5,0.1897,Rainy,1,13.72,1,0,0.8078,165,1.1747,0
SHP02213,Rotterdam,New York,COSCO,2022-09-06,10,12,0.1613,Hurricane,3,66.95,0,0,0.6407,73,0.7261,1
SHP02214,Dubai,Mumbai,MaerskLine,2022-03-03,5,5,0.2714,Clear,1,10.15,0,0,0.8384,68,0.9978,0
SHP02215,Dubai,Mumbai,MaerskLine,2023-01-30,5,5,0.2611,Cloudy,1,6.84,1,0,0.817,69,1.2021,0
SHP02216,Dubai,Mumbai,EverGreen,2023-08-28,5,5,0.3375,Clear,1,1.45,0,0,0.6085,146,0.8029,0
SHP02217,Hong Kong,London,COSCO,2023-06-01,20,22,0.1927,Storm,1,7.02,0,0,0.5647,141,1.2383,1
SHP02218,Rotterdam,New York,MSC,2023-01-30,10,10,0.2026,Cloudy,1,28.32,0,0,0.7065,74,0.7392,0
SHP02219,Antwerp,Chicago,HapagLloyd,2023-02-14,13,13,0.1099,Hurricane,1,11.44,0,1,0.77,140,1.2763,0
SHP02220,Dubai,Mumbai,MaerskLine,2023-12-04,5,5,0.324,Rainy,1,50.28,0,0,0.827,109,0.9914,0
SHP02221,Busan,Seattle,HapagLloyd,2022-04-20,12,17,0.5442,Clear,2,12.46,1,1,0.7579,159,0.7252,1
SHP02222,Rotterdam,New York,MSC,2022-07-11,10,10,0.2881,Clear,2,5.1,1,0,0.6885,34,0.8681,0
SHP02223,Busan,Seattle,MaerskLine,2023-04-09,12,12,0.2442,Storm,2,33.56,0,0,0.8251,32,1.0745,0
SHP02224,Hong Kong,London,COSCO,2022-03-28,20,22,0.1748,Clear,2,15.77,1,0,0.5718,109,1.0534,1
SHP02225,Hong Kong,London,EverGreen,2023-05-30,20,20,0.0226,Cloudy,2,14.08,1,1,0.592,160,0.7325,0
SHP02226,Guangzhou,Sydney,HapagLloyd,2022-10-07,15,23,0.4586,Rainy,3,14.13,2,1,0.7653,21,1.0814,1
SHP02227,Hong Kong,London,MaerskLine,2023-03-09,20,20,0.3424,Clear,2,57.05,0,0,0.8525,7,0.9018,0
SHP02228,Dubai,Mumbai,COSCO,2023-09-01,5,5,0.1714,Cloudy,1,219.35,1,0,0.5015,123,0.7961,0
SHP02229,Busan,Seattle,HapagLloyd,2023-03-20,12,13,0.1462,Hurricane,2,78.28,1,0,0.7629,81,0.782,1
SHP02230,Rotterdam,New York,MaerskLine,2022-08-13,10,10,0.2485,Cloudy,3,34.82,1,0,0.8321,128,0.8898,0
SHP02231,Rotterdam,New York,MaerskLine,2022-09-02,10,10,0.2528,Clear,1,35.24,1,0,0.8343,14,0.9173,0
SHP02232,Rotterdam,New York,HapagLloyd,2023-09-28,10,10,0.2246,Clear,2,11.29,0,1,0.7796,94,0.7921,0
SHP02233,Guangzhou,Sydney,EverGreen,2023-12-10,15,16,0.1548,Storm,1,20.41,3,1,0.6409,156,1.1864,1
SHP02234,Busan,Seattle,EverGreen,2022-07-28,12,13,0.121,Cloudy,2,34.07,1,1,0.7104,169,1.2283,1
SHP02235,Hong Kong,London,COSCO,2022-01-04,20,23,0.3944,Hurricane,3,69.15,2,1,0.5604,84,1.265,1
SHP02236,Rotterdam,New York,MSC,2023-09-30,10,13,0.3918,Hurricane,2,6.8,2,0,0.6945,59,1.0396,1
SHP02237,Antwerp,Chicago,COSCO,2023-11-29,13,14,0.2678,Cloudy,2,50.43,3,1,0.5702,21,0.9603,1
SHP02238,Rotterdam,New York,MSC,2023-04-12,10,16,0.4132,Cloudy,1,30.77,2,0,0.6832,156,0.7969,1
SHP02239,Singapore,Hamburg,MaerskLine,2022-01-22,18,20,0.1173,Storm,2,376.58,1,0,0.8267,61,0.703,1
SHP02240,Singapore,Hamburg,COSCO,2022-01-10,18,19,0.1531,Clear,2,13.91,1,1,0.5389,19,1.2083,1
SHP02241,Hong Kong,London,EverGreen,2022-09-11,20,23,0.6499,Hurricane,2,128.67,0,1,0.632,167,1.258,1
SHP02242,Antwerp,Chicago,MaerskLine,2023-08-04,13,13,0.1052,Clear,3,22.54,0,0,0.8256,35,1.1914,0
SHP02243,Busan,Seattle,MSC,2022-05-31,12,17,0.2603,Hurricane,2,18.19,0,0,0.7345,7,0.8861,1
SHP02244,Rotterdam,New York,MaerskLine,2022-12-10,10,10,0.0436,Rainy,3,38.94,1,0,0.8498,179,1.1487,0
SHP02245,Antwerp,Chicago,EverGreen,2022-09-21,13,13,0.2198,Rainy,1,72.98,0,0,0.6798,42,1.0417,0
SHP02246,Antwerp,Chicago,COSCO,2022-12-28,13,13,0.586,Rainy,1,33.21,1,0,0.5013,155,0.865,0
SHP02247,Busan,Seattle,COSCO,2023-09-03,12,17,0.6362,Hurricane,1,70.02,0,0,0.5,89,0.7313,1
SHP02248,Antwerp,Chicago,MaerskLine,2023-10-18,13,13,0.1516,Rainy,1,17.02,0,0,0.8031,51,1.2925,0
SHP02249,Shanghai,Los Angeles,MSC,2023-11-07,14,18,0.2022,Storm,3,4.64,1,0,0.7037,86,1.1955,1
SHP02250,Singapore,Hamburg,COSCO,2023-08-15,18,20,0.3387,Storm,1,20.72,2,1,0.5343,84,1.1092,1
SHP02251,Guangzhou,Sydney,COSCO,2022-07-18,15,15,0.099,Cloudy,1,9.24,0,0,0.5422,143,0.9683,0
SHP02252,Guangzhou,Sydney,MaerskLine,2023-11-27,15,15,0.1732,Rainy,1,31.15,0,0,0.8752,149,1.081,0
SHP02253,Antwerp,Chicago,HapagLloyd,2023-11-27,13,14,0.6542,Cloudy,1,201.1,0,1,0.7862,97,1.1856,1
SHP02254,Hong Kong,London,COSCO,2022-10-10,20,23,0.142,Storm,1,39.73,0,0,0.6028,149,0.718,1
SHP02255,Busan,Seattle,MSC,2023-12-20,12,12,0.1216,Clear,1,29.14,0,0,0.7375,106,1.0168,0
SHP02256,Hong Kong,London,HapagLloyd,2023-04-11,20,20,0.3333,Clear,1,18.47,2,0,0.7691,69,0.9694,0
SHP02257,Hong Kong,London,COSCO,2023-05-26,20,20,0.4042,Clear,3,21.36,1,0,0.5045,72,0.9609,0
SHP02258,Singapore,Hamburg,EverGreen,2022-10-24,18,18,0.0179,Cloudy,2,26.01,0,0,0.6188,34,1.2513,0
SHP02259,Singapore,Hamburg,COSCO,2022-10-29,18,23,0.4555,Storm,3,50.6,2,1,0.5864,71,1.05,1
SHP02260,Shanghai,Los Angeles,EverGreen,2023-08-31,14,14,0.2589,Clear,2,20.77,1,1,0.6602,148,0.7919,0
SHP02261,Rotterdam,New York,MaerskLine,2023-03-17,10,11,0.3867,Storm,2,57.85,0,0,0.8301,175,1.181,1
SHP02262,Hong Kong,London,MaerskLine,2022-12-25,20,20,0.2325,Clear,1,16.31,0,1,0.8101,121,0.7761,0
SHP02263,Busan,Seattle,HapagLloyd,2022-03-30,12,13,0.1221,Hurricane,1,15.18,0,1,0.7355,46,0.7889,1
SHP02264,Busan,Seattle,MSC,2022-03-24,12,12,0.424,Cloudy,1,60.74,3,0,0.7412,158,0.8572,0
SHP02265,Busan,Seattle,MSC,2022-12-30,12,12,0.4852,Clear,3,7.64,2,0,0.7251,122,0.9915,0
SHP02266,Dubai,Mumbai,EverGreen,2022-04-11,5,5,0.3781,Storm,3,5.62,1,0,0.6416,87,1.0818,0
SHP02267,Busan,Seattle,COSCO,2023-08-01,12,13,0.1186,Hurricane,1,20.06,1,0,0.5428,135,1.1877,1
SHP02268,Guangzhou,Sydney,COSCO,2022-07-24,15,16,0.1152,Hurricane,3,6.36,0,1,0.6149,2,1.237,1
SHP02269,Busan,Seattle,MSC,2022-11-05,12,16,0.2758,Storm,2,66.91,1,0,0.6631,86,0.9397,1
SHP02270,Busan,Seattle,MaerskLine,2023-10-06,12,12,0.206,Rainy,2,44.04,1,0,0.8458,72,0.9271,0
SHP02271,Antwerp,Chicago,HapagLloyd,2023-03-24,13,13,0.4396,Cloudy,3,51.37,2,0,0.7522,76,0.8183,0
SHP02272,Rotterdam,New York,MSC,2022-11-17,10,11,0.1877,Hurricane,2,22.14,2,0,0.7284,39,1.206,1
SHP02273,Hong Kong,London,EverGreen,2023-03-07,20,21,0.3718,Rainy,3,5.62,2,0,0.6559,158,1.0798,1
SHP02274,Guangzhou,Sydney,EverGreen,2022-01-28,15,15,0.3047,Clear,1,30.0,1,0,0.6441,29,1.1518,0
SHP02275,Guangzhou,Sydney,MaerskLine,2022-11-06,15,15,0.4049,Cloudy,1,23.01,0,0,0.8344,169,1.1025,0
SHP02276,Dubai,Mumbai,HapagLloyd,2023-09-28,5,10,0.6848,Hurricane,1,105.08,2,0,0.7931,21,1.2145,1
SHP02277,Busan,Seattle,MaerskLine,2023-11-18,12,14,0.3609,Storm,2,14.24,0,1,0.7562,87,0.892,1
SHP02278,Shanghai,Los Angeles,EverGreen,2022-02-25,14,20,0.3416,Hurricane,1,102.74,2,0,0.6311,51,1.292,1
SHP02279,Rotterdam,New York,MaerskLine,2023-10-28,10,10,0.3497,Rainy,2,8.53,2,0,0.8468,157,1.064,0
SHP02280,Rotterdam,New York,COSCO,2022-10-25,10,11,0.0923,Hurricane,1,8.4,0,1,0.552,27,0.8437,1
SHP02281,Antwerp,Chicago,COSCO,2023-08-22,13,19,0.4411,Clear,2,26.46,0,1,0.5541,115,1.0274,1
SHP02282,Shanghai,Los Angeles,MSC,2023-05-23,14,16,0.554,Hurricane,2,20.06,1,1,0.7388,39,1.1148,1
SHP02283,Singapore,Hamburg,MSC,2022-11-15,18,19,0.2836,Cloudy,2,23.84,2,0,0.691,101,0.9477,1
SHP02284,Shanghai,Los Angeles,EverGreen,2022-04-28,14,17,0.1807,Hurricane,1,24.04,0,0,0.6682,60,0.9953,1
SHP02285,Rotterdam,New York,MaerskLine,2022-05-04,10,10,0.2809,Cloudy,2,85.76,0,0,0.7955,153,1.2686,0
SHP02286,Rotterdam,New York,MSC,2022-01-26,10,10,0.1015,Cloudy,2,63.73,1,1,0.7126,36,1.0597,0
SHP02287,Antwerp,Chicago,EverGreen,2022-11-04,13,15,0.3842,Clear,1,30.64,0,0,0.6046,179,0.7301,1
SHP02288,Guangzhou,Sydney,EverGreen,2023-07-14,15,15,0.1091,Cloudy,3,13.56,3,0,0.6422,4,0.8282,0
SHP02289,Busan,Seattle,HapagLloyd,2023-09-24,12,13,0.4039,Storm,2,20.91,1,0,0.7943,138,1.1817,1
SHP02290,Rotterdam,New York,EverGreen,2022-07-09,10,10,0.2077,Cloudy,2,16.83,0,0,0.6271,36,1.1294,0
SHP02291,Singapore,Hamburg,MSC,2023-12-18,18,18,0.1641,Cloudy,1,33.4,0,0,0.7265,58,0.9448,0
SHP02292,Dubai,Mumbai,EverGreen,2023-11-15,5,14,0.147,Storm,1,3.07,1,1,0.6453,89,0.8533,1
SHP02293,Rotterdam,New York,HapagLloyd,2022-10-09,10,10,0.2914,Storm,1,21.6,1,0,0.7975,9,1.1816,0
SHP02294,Guangzhou,Sydney,EverGreen,2023-03-12,15,15,0.297,Clear,1,5.43,2,0,0.6575,128,1.0627,0
SHP02295,Singapore,Hamburg,MaerskLine,2023-08-01,18,23,0.2725,Rainy,2,9.14,0,0,0.8529,154,1.2849,1
SHP02296,Guangzhou,Sydney,MaerskLine,2023-10-23,15,16,0.2684,Hurricane,1,36.74,0,0,0.8863,71,1.2747,1
SHP02297,Antwerp,Chicago,MaerskLine,2023-04-25,13,13,0.1825,Rainy,1,2.79,0,0,0.8274,52,1.1541,0
SHP02298,Antwerp,Chicago,COSCO,2023-01-02,13,13,0.0538,Clear,1,43.9,0,0,0.5367,4,0.7567,0
SHP02299,Dubai,Mumbai,COSCO,2022-03-06,5,6,0.1237,Hurricane,1,17.83,0,0,0.5037,37,0.782,1
SHP02300,Singapore,Hamburg,MSC,2023-07-31,18,18,0.1975,Rainy,2,76.98,1,0,0.7632,124,0.9026,0
SHP02301,Hong Kong,London,EverGreen,2023-11-06,20,23,0.1348,Cloudy,3,13.73,1,1,0.6378,58,0.7108,1
SHP02302,Busan,Seattle,EverGreen,2023-10-23,12,12,0.5528,Clear,2,36.83,1,0,0.597,155,0.7387,0
SHP02303,Antwerp,Chicago,EverGreen,2022-07-04,13,13,0.3294,Storm,1,5.12,0,0,0.6402,88,1.0277,0
SHP02304,Busan,Seattle,MSC,2023-08-18,12,12,0.1031,Rainy,1,18.56,1,0,0.7007,111,0.8582,0
SHP02305,Hong Kong,London,HapagLloyd,2022-03-11,20,21,0.2467,Hurricane,2,10.47,0,0,0.747,167,0.8692,1
SHP02306,Shanghai,Los Angeles,MaerskLine,2023-11-13,14,14,0.346,Cloudy,2,6.86,0,1,0.7607,67,0.8725,0
SHP02307,Rotterdam,New York,EverGreen,2022-08-26,10,18,0.262,Storm,3,22.7,3,0,0.6613,23,1.2659,1
SHP02308,Dubai,Mumbai,MaerskLine,2023-01-29,5,5,0.2918,Cloudy,1,11.48,3,0,0.8135,89,0.9924,0
SHP02309,Guangzhou,Sydney,MaerskLine,2022-04-28,15,15,0.1204,Clear,1,24.89,1,0,0.8364,57,0.7252,0
SHP02310,Shanghai,Los Angeles,MaerskLine,2023-09-14,14,21,0.292,Storm,2,14.4,0,0,0.7683,168,1.0149,1
SHP02311,Shanghai,Los Angeles,MSC,2023-04-06,14,14,0.1711,Rainy,1,19.81,0,1,0.703,132,0.8542,0
SHP02312,Guangzhou,Sydney,MSC,2022-07-20,15,16,0.2135,Hurricane,1,122.99,2,0,0.6761,73,0.8343,1
SHP02313,Busan,Seattle,EverGreen,2022-08-19,12,19,0.2072,Storm,2,108.16,0,0,0.6945,41,0.8179,1
SHP02314,Dubai,Mumbai,MSC,2022-07-16,5,6,0.0433,Storm,1,13.85,3,0,0.6774,98,0.9096,1
SHP02315,Rotterdam,New York,HapagLloyd,2023-11-16,10,10,0.361,Clear,3,31.73,0,0,0.7265,118,0.739,0
SHP02316,Rotterdam,New York,MSC,2022-01-06,10,10,0.2642,Clear,1,238.99,0,0,0.6847,25,0.8708,0
SHP02317,Hong Kong,London,EverGreen,2022-03-15,20,21,0.3139,Hurricane,2,151.85,0,0,0.6481,99,0.9435,1
SHP02318,Hong Kong,London,MSC,2022-08-01,20,24,0.0333,Hurricane,2,6.86,0,0,0.7012,126,1.1016,1
SHP02319,Antwerp,Chicago,HapagLloyd,2023-07-27,13,13,0.2392,Rainy,1,2.66,1,0,0.7795,53,1.2872,0
SHP02320,Singapore,Hamburg,MaerskLine,2023-01-21,18,19,0.3371,Storm,1,2.05,0,0,0.8114,70,1.1108,1
SHP02321,Rotterdam,New York,HapagLloyd,2023-06-14,10,10,0.051,Clear,2,63.11,2,1,0.7679,135,1.0444,0
SHP02322,Busan,Seattle,MaerskLine,2022-02-22,12,12,0.0989,Clear,1,8.54,1,0,0.8385,28,1.2556,0
SHP02323,Hong Kong,London,MaerskLine,2022-10-24,20,20,0.408,Cloudy,1,3.77,0,0,0.8066,123,1.067,0
SHP02324,Busan,Seattle,EverGreen,2022-06-11,12,12,0.0475,Rainy,2,47.89,1,1,0.6252,124,0.7858,0
SHP02325,Busan,Seattle,MaerskLine,2023-06-15,12,13,0.5381,Hurricane,2,34.46,1,0,0.7847,133,0.756,1
SHP02326,Busan,Seattle,EverGreen,2023-12-16,12,18,0.0227,Hurricane,3,34.49,0,1,0.6767,123,0.7459,1
SHP02327,Rotterdam,New York,HapagLloyd,2022-09-27,10,10,0.5099,Storm,2,76.2,0,0,0.7599,49,1.1216,0
SHP02328,Shanghai,Los Angeles,MaerskLine,2022-07-25,14,14,0.5128,Rainy,1,22.18,1,0,0.8168,172,1.1972,0
SHP02329,Hong Kong,London,MaerskLine,2022-12-04,20,20,0.2482,Cloudy,1,3.95,1,1,0.8394,99,0.7471,0
SHP02330,Shanghai,Los Angeles,MSC,2023-08-01,14,16,0.4692,Storm,2,36.21,0,1,0.7048,9,1.0205,1
SHP02331,Shanghai,Los Angeles,COSCO,2023-09-05,14,14,0.5038,Clear,2,35.81,1,0,0.546,60,0.8307,0
SHP02332,Rotterdam,New York,HapagLloyd,2022-10-05,10,13,0.7097,Storm,1,2.01,0,0,0.7954,11,1.0973,1
SHP02333,Shanghai,Los Angeles,MaerskLine,2022-08-19,14,14,0.1362,Clear,1,14.82,1,0,0.7921,23,0.9587,0
SHP02334,Hong Kong,London,EverGreen,2022-08-22,20,25,0.3327,Storm,2,40.03,2,0,0.6425,119,0.807,1
SHP02335,Shanghai,Los Angeles,MaerskLine,2022-07-20,14,14,0.3142,Clear,1,9.03,1,0,0.8306,82,1.0661,0
SHP02336,Guangzhou,Sydney,MaerskLine,2023-02-01,15,16,0.2787,Hurricane,1,16.59,0,0,0.8548,110,1.168,1
SHP02337,Guangzhou,Sydney,MSC,2023-07-17,15,28,0.2806,Storm,2,26.39,0,0,0.6799,126,0.7974,1
SHP02338,Singapore,Hamburg,MaerskLine,2023-09-23,18,19,0.5478,Storm,2,24.18,1,1,0.8692,76,0.8274,1
SHP02339,Hong Kong,London,COSCO,2022-03-01,20,20,0.1006,Cloudy,1,17.66,0,0,0.5421,18,1.0391,0
SHP02340,Dubai,Mumbai,MSC,2022-08-21,5,5,0.3255,Clear,2,48.16,0,0,0.7401,113,1.1522,0
SHP02341,Guangzhou,Sydney,HapagLloyd,2022-01-16,15,19,0.1246,Hurricane,2,25.05,2,1,0.7974,176,1.1171,1
SHP02342,Dubai,Mumbai,MaerskLine,2023-03-26,5,5,0.0807,Clear,1,1.69,0,1,0.788,5,0.7959,0
SHP02343,Singapore,Hamburg,COSCO,2023-09-09,18,18,0.0711,Clear,3,18.59,0,0,0.5454,116,1.1951,0
SHP02344,Dubai,Mumbai,COSCO,2023-05-06,5,5,0.1002,Cloudy,1,42.39,0,0,0.5636,102,0.9166,0
SHP02345,Rotterdam,New York,MaerskLine,2023-07-11,10,10,0.3689,Clear,2,6.88,1,1,0.8074,38,1.2056,0
SHP02346,Dubai,Mumbai,EverGreen,2022-08-14,5,5,0.3155,Rainy,1,13.94,1,0,0.6453,154,0.9351,0
SHP02347,Antwerp,Chicago,COSCO,2022-10-27,13,13,0.2325,Rainy,1,56.05,1,0,0.5394,38,0.9387,0
SHP02348,Dubai,Mumbai,HapagLloyd,2023-07-09,5,5,0.215,Rainy,2,11.94,2,0,0.811,5,0.9124,0
SHP02349,Rotterdam,New York,MaerskLine,2023-12-24,10,14,0.5789,Rainy,3,10.33,2,0,0.8354,131,1.0143,1
SHP02350,Antwerp,Chicago,COSCO,2022-05-21,13,16,0.1947,Clear,1,41.78,0,1,0.6091,29,0.831,1
SHP02351,Dubai,Mumbai,COSCO,2023-01-17,5,9,0.3249,Hurricane,3,36.04,1,1,0.5817,48,1.2792,1
SHP02352,Singapore,Hamburg,MaerskLine,2023-10-28,18,18,0.0233,Cloudy,2,9.52,0,0,0.7524,143,0.735,0
SHP02353,Antwerp,Chicago,MaerskLine,2022-02-04,13,13,0.1499,Clear,2,3.26,0,0,0.8719,172,1.2601,0
SHP02354,Busan,Seattle,COSCO,2022-03-28,12,16,0.34,Hurricane,2,9.66,0,0,0.6543,47,0.7754,1
SHP02355,Shanghai,Los Angeles,COSCO,2022-01-20,14,17,0.1507,Hurricane,2,27.87,2,0,0.5964,81,0.9784,1
SHP02356,Guangzhou,Sydney,EverGreen,2022-07-30,15,19,0.1819,Storm,2,33.47,0,1,0.6474,107,1.2581,1
SHP02357,Guangzhou,Sydney,MSC,2023-11-08,15,17,0.3075,Storm,2,21.37,0,0,0.6865,164,0.7715,1
SHP02358,Busan,Seattle,MaerskLine,2022-01-27,12,12,0.0638,Hurricane,1,9.56,0,0,0.7593,169,1.0527,0
SHP02359,Hong Kong,London,COSCO,2022-01-29,20,24,0.2996,Hurricane,1,15.86,0,1,0.5515,106,1.1121,1
SHP02360,Hong Kong,London,HapagLloyd,2022-02-28,20,21,0.231,Storm,1,161.87,0,0,0.7464,62,1.0202,1
SHP02361,Rotterdam,New York,HapagLloyd,2023-11-26,10,10,0.1019,Storm,2,38.19,1,0,0.7584,27,0.9565,0
SHP02362,Busan,Seattle,HapagLloyd,2023-08-05,12,12,0.4048,Storm,2,4.99,0,0,0.7764,129,1.0192,0
SHP02363,Busan,Seattle,MSC,2022-09-01,12,14,0.3093,Storm,2,59.89,0,0,0.663,53,1.0392,1
